Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
Predict keywords activities in a online social media,"Multivariate, Sequential, Time-Series",,"Integer, Real",51.0,35.0,2013.0
Thoracic Surgery Data,Multivariate,Classification,"Integer, Real",470.0,17.0,2013.0
EMG dataset in Lower Limb,"Multivariate, Time-Series",,Real,132.0,5.0,2014.0
SUSY,,Classification,Real,5000000.0,18.0,2014.0
HIGGS,,Classification,Real,11000000.0,28.0,2014.0
Qualitative_Bankruptcy,Multivariate,Classification,,250.0,7.0,2014.0
LSVT Voice Rehabilitation,Multivariate,Classification,Real,126.0,309.0,2014.0
Dataset for ADL Recognition with Wrist-worn Accelerometer,"Multivariate, Time-Series","Classification, Clustering",,,3.0,2014.0
Wilt,Multivariate,Classification,,4889.0,6.0,2014.0
User Identification From Walking Activity,"Univariate, Sequential, Time-Series","Classification, Clustering",Real,,,2014.0
Activity Recognition from Single Chest-Mounted Accelerometer,"Univariate, Sequential, Time-Series","Classification, Clustering",Real,,,2014.0
Leaf,Multivariate,Classification,Real,340.0,16.0,2014.0
Dresses_Attribute_Sales,Text,"Classification, Clustering",,501.0,13.0,2014.0
Tamilnadu Electricity Board Hourly Readings,Multivariate,"Classification, Regression, Clustering",Real,45781.0,5.0,2013.0
Airfoil Self-Noise,Multivariate,Regression,Real,1503.0,6.0,2014.0
Wholesale customers,Multivariate,"Classification, Clustering",Integer,440.0,8.0,2014.0
Twitter Data set for Arabic Sentiment Analysis,Text,Classification,,2000.0,2.0,2014.0
Combined Cycle Power Plant,Multivariate,Regression,Real,9568.0,4.0,2014.0
Urban Land Cover,Multivariate,Classification,,168.0,148.0,2014.0
Diabetes 130-US hospitals for years 1999-2008,Multivariate,"Classification, Clustering",Integer,100000.0,55.0,2014.0
Bach Choral Harmony,Sequential,Classification,,5665.0,17.0,2014.0
StoneFlakes,Multivariate,"Classification, Clustering, Causal-Discovery",Real,79.0,8.0,2014.0
Tennis Major Tournament Match Statistics,Multivariate,"Classification, Regression, Clustering","Integer, Real",127.0,42.0,2014.0
Parkinson Speech Dataset with  Multiple Types of Sound Recordings,Multivariate,"Classification, Regression","Integer, Real",1040.0,26.0,2014.0
Gesture Phase Segmentation,"Multivariate, Sequential, Time-Series","Classification, Clustering",Real,9900.0,50.0,2014.0
Perfume Data,"Univariate, Domain-Theory","Classification, Clustering",Integer,560.0,2.0,2014.0
BlogFeedback,Multivariate,Regression,"Integer, Real",60021.0,281.0,2014.0
REALDISP Activity Recognition Dataset,"Multivariate, Time-Series",Classification,Real,1419.0,120.0,2014.0
Newspaper and magazine images segmentation dataset,,Classification,,101.0,,2014.0
AAAI 2014 Accepted Papers,Multivariate,Clustering,,399.0,6.0,2014.0
Gas sensor array under flow modulation,"Multivariate, Time-Series","Classification, Regression",Real,58.0,120432.0,2014.0
Gas sensor array exposed to turbulent gas mixtures,"Multivariate, Time-Series","Classification, Regression",Real,180.0,150000.0,2014.0
UJIIndoorLoc,Multivariate,"Classification, Regression","Integer, Real",21048.0,529.0,2014.0
Sentence Classification,Text,Classification,Integer,,,2014.0
Dow Jones Index,Time-Series,"Classification, Clustering","Integer, Real",750.0,16.0,2014.0
sEMG for Basic Hand movements,Time-Series,Classification,Real,3000.0,2500.0,2014.0
AAAI 2013 Accepted Papers,Multivariate,Clustering,,150.0,5.0,2014.0
Geographical Original of Music,Multivariate,"Classification, Regression",Real,1059.0,68.0,2014.0
Condition Based Maintenance of Naval Propulsion Plants,Multivariate,Regression,Real,11934.0,16.0,2014.0
Grammatical Facial Expressions,"Multivariate, Sequential","Classification, Clustering",Real,27965.0,100.0,2014.0
NoisyOffice,Multivariate,"Classification, Regression",Real,216.0,216.0,2015.0
MHEALTH Dataset,"Multivariate, Time-Series",Classification,Real,120.0,23.0,2014.0
Student Performance,Multivariate,"Classification, Regression",Integer,649.0,33.0,2014.0
ElectricityLoadDiagrams20112014,Time-Series,"Regression, Clustering",Real,370.0,140256.0,2015.0
Gas sensor array under dynamic gas mixtures,"Multivariate, Time-Series","Classification, Regression",Real,4178504.0,19.0,2015.0
microblogPCU,"Multivariate, Univariate, Sequential, Text","Classification, Causal-Discovery","Integer, Real",221579.0,20.0,2015.0
Firm-Teacher_Clave-Direction_Classification,Multivariate,Classification,,10800.0,20.0,2015.0
Dataset for Sensorless Drive Diagnosis,Multivariate,Classification,Real,58509.0,49.0,2015.0
TV News Channel Commercial Detection Dataset,Multivariate,"Classification, Clustering",Real,129685.0,12.0,2015.0
Phishing Websites,,Classification,Integer,2456.0,30.0,2015.0
Greenhouse Gas Observing Network,"Multivariate, Time-Series",Regression,Real,2921.0,5232.0,2015.0
Diabetic Retinopathy Debrecen Data Set,Multivariate,Classification,"Integer, Real",1151.0,20.0,2014.0
HIV-1 protease cleavage,Multivariate,Classification,Categorical,6590.0,1.0,2015.0
Sentiment Labelled Sentences,Text,Classification,,3000.0,,2015.0
Online News Popularity,Multivariate,"Classification, Regression","Integer, Real",39797.0,61.0,2015.0
Forest type mapping,Multivariate,Classification,,326.0,27.0,2015.0
wiki4HE,Multivariate,"Regression, Clustering, Causal-Discovery",,913.0,53.0,2015.0
Online Video Characteristics and Transcoding Time Dataset,Multivariate,Regression,"Integer, Real",168286.0,11.0,2015.0
Chronic_Kidney_Disease,Multivariate,Classification,Real,400.0,25.0,2015.0
Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014,"Sequential, Time-Series",Classification,Real,314080.0,0.0,2015.0
Folio,Multivariate,"Classification, Clustering",,637.0,20.0,2015.0
"Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015","Multivariate, Sequential, Time-Series, Domain-Theory","Clustering, Causal-Discovery",Real,1710671.0,9.0,2015.0
Cuff-Less Blood Pressure Estimation,Multivariate,"Classification, Regression",Real,12000.0,3.0,2015.0
Smartphone-Based Recognition of Human Activities and Postural Transitions,"Multivariate, Time-Series",Classification,Real,10929.0,561.0,2015.0
Mice Protein Expression,Multivariate,"Classification, Clustering",Real,1080.0,82.0,2015.0
UJIIndoorLoc-Mag,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering","Integer, Real",40000.0,13.0,2015.0
Heterogeneity Activity Recognition,"Multivariate, Time-Series","Classification, Clustering",Real,43930257.0,16.0,2015.0
Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,230318.0,13.0,2015.0
HEPMASS,Multivariate,Classification,Real,10500000.0,28.0,2016.0
Indoor User Movement Prediction from RSS data,"Multivariate, Sequential, Time-Series",Classification,Real,13197.0,4.0,2016.0
Open University Learning Analytics dataset,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,,,2015.0
default of credit card clients,Multivariate,Classification,"Integer, Real",30000.0,24.0,2016.0
Mesothelioma’s disease data set,Multivariate,Classification,Real,324.0,34.0,2016.0
Online Retail,"Multivariate, Sequential, Time-Series","Classification, Clustering","Integer, Real",541909.0,8.0,2015.0
SIFT10M,Multivariate,Causal-Discovery,Integer,11164866.0,128.0,2016.0
GPS Trajectories,Multivariate,"Classification, Regression",Real,163.0,15.0,2016.0
Detect Malacious Executable(AntiVirus),Multivariate,Classification,Real,373.0,513.0,2016.0
Occupancy Detection,"Multivariate, Time-Series",Classification,Real,20560.0,7.0,2016.0
Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinson’s Disease,Multivariate,"Classification, Regression, Clustering",Real,40.0,7.0,2016.0
News Aggregator,Multivariate,"Classification, Clustering",,422937.0,5.0,2016.0
Air Quality,"Multivariate, Time-Series",Regression,Real,9358.0,15.0,2016.0
Twin gas sensor arrays,"Multivariate, Time-Series, Domain-Theory","Classification, Regression",Real,640.0,480000.0,2016.0
Gas sensors for home activity monitoring,"Multivariate, Time-Series",Classification,Real,919438.0,11.0,2016.0
Facebook Comment Volume Dataset,Multivariate,Regression,"Integer, Real",40949.0,54.0,2016.0
Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL),Time-Series,Classification,Real,5744.0,561.0,2016.0
Polish companies bankruptcy data,Multivariate,Classification,Real,10503.0,64.0,2016.0
Activity Recognition system based on Multisensor data fusion (AReM),"Multivariate, Sequential, Time-Series",Classification,Real,42240.0,6.0,2016.0
Dota2 Games Results,Multivariate,Classification,,102944.0,116.0,2016.0
Facebook metrics,Multivariate,Regression,Integer,500.0,19.0,2016.0
UbiqLog (smartphone lifelogging),Multivariate,Causal-Discovery,,9782222.0,,2016.0
NIPS Conference Papers 1987-2015,Text,Clustering,Integer,11463.0,5812.0,2016.0
HTRU2,Multivariate,"Classification, Clustering",Real,17898.0,9.0,2017.0
Drug consumption (quantified),Multivariate,Classification,Real,1885.0,32.0,2016.0
Appliances energy prediction,"Multivariate, Time-Series",Regression,Real,19735.0,29.0,2017.0
Miskolc IIS Hybrid IPS,Text,"Classification, Clustering, Causal-Discovery",Integer,1540.0,67.0,2016.0
KDC-4007 dataset Collection,"Multivariate, Text","Classification, Regression",Integer,4007.0,,2017.0
Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering","Integer, Real",153540.0,25.0,2017.0
DrivFace,Multivariate,"Classification, Regression, Clustering",Real,606.0,6400.0,2016.0
Website Phishing,Multivariate,Classification,Integer,1353.0,10.0,2016.0
YouTube Spam Collection,Text,Classification,,1956.0,5.0,2017.0
Beijing PM2.5 Data,"Multivariate, Time-Series",Regression,"Integer, Real",43824.0,13.0,2017.0
Cargo 2000 Freight Tracking and Tracing,"Multivariate, Sequential","Classification, Regression",Integer,3942.0,98.0,2016.0
Cervical cancer (Risk Factors),Multivariate,Classification,"Integer, Real",858.0,36.0,2017.0
Quality Assessment of Digital Colposcopies,Multivariate,Classification,Real,287.0,69.0,2017.0
KASANDR,Multivariate,Causal-Discovery,Integer,17764280.0,2158859.0,2017.0
FMA: A Dataset For Music Analysis,"Multivariate, Time-Series","Classification, Clustering",Real,106574.0,518.0,2017.0
Air quality,"Multivariate, Time-Series",Regression,Real,9358.0,15.0,2016.0
Epileptic Seizure Recognition,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",11500.0,179.0,2017.0
Devanagari Handwritten Character Dataset,,Classification,Integer,92000.0,,2016.0
Stock portfolio performance,Multivariate,Regression,Real,315.0,12.0,2016.0
MoCap Hand Postures,Multivariate,"Classification, Clustering","Integer, Real",78095.0,38.0,2016.0
Early biomarkers of Parkinson�s disease based on natural connected speech,Multivariate,"Classification, Regression","Integer, Real",130.0,65.0,2017.0
Data for Software Engineering Teamwork Assessment in Education Setting,"Sequential, Time-Series",Classification,"Integer, Real",74.0,102.0,2017.0
PM2.5 Data of Five Chinese Cities,"Multivariate, Time-Series",Regression,"Integer, Real",52854.0,86.0,2017.0
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet,Multivariate,"Classification, Regression, Clustering",Integer,77.0,7.0,2017.0
Sales_Transactions_Dataset_Weekly,"Multivariate, Time-Series",Clustering,"Integer, Real",811.0,53.0,2017.0
Las Vegas Strip,,"Classification, Regression",Integer,504.0,20.0,2017.0
Eco-hotel,Text,,,401.0,1.0,2017.0
MEU-Mobile KSD,Multivariate,Classification,"Integer, Real",2856.0,71.0,2016.0
Crowdsourced Mapping,Multivariate,Classification,,10546.0,29.0,2016.0
gene expression cancer RNA-Seq,Multivariate,"Classification, Clustering",Real,801.0,20531.0,2016.0
"Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer","Multivariate, Sequential, Time-Series",Classification,Real,1540.0,65.0,2016.0
chestnut – LARVIC,,"Classification, Clustering",,1451.0,3.0,2017.0
Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network,Text,Classification,Integer,1075.0,22.0,2017.0
Motion Capture Hand Postures,Multivariate,"Classification, Clustering",Real,78095.0,38.0,2017.0
Anuran Calls (MFCCs),Multivariate,"Classification, Clustering",Real,7195.0,22.0,2017.0
TTC-3600: Benchmark dataset for Turkish text categorization,Text,"Classification, Clustering",Integer,3600.0,4814.0,2017.0
Gastrointestinal Lesions in Regular Colonoscopy,Multivariate,Classification,Real,76.0,698.0,2016.0
Daily Demand Forecasting Orders,Time-Series,Regression,Integer,60.0,13.0,2017.0
Paper Reviews,Text,"Classification, Regression",Integer,405.0,10.0,2017.0
extention of Z-Alizadeh sani dataset,,Classification,"Integer, Real",303.0,59.0,2017.0
Z-Alizadeh Sani,,Classification,"Integer, Real",303.0,56.0,2017.0
Dynamic Features of VirusShare Executables,"Multivariate, Time-Series","Classification, Regression",Integer,107888.0,482.0,2017.0
IDA2016Challenge,Multivariate,Classification,Integer,76000.0,171.0,2017.0
DSRC Vehicle Communications,"Sequential, Text",Clustering,Real,10000.0,5.0,2017.0
Mturk User-Perceived Clusters over Images,"Multivariate, Text",Clustering,Integer,180.0,500.0,2016.0
Character Font Images,Multivariate,Classification,"Integer, Real",745000.0,411.0,2016.0
DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels,Text,Classification,Integer,12234.0,8519.0,2016.0
Autistic Spectrum Disorder Screening Data for Children,Multivariate,Classification,Integer,292.0,21.0,2017.0
Autistic Spectrum Disorder Screening Data for Adolescent,Multivariate,Classification,Integer,104.0,21.0,2017.0
APS Failure at Scania Trucks,Multivariate,Classification,"Integer, Real",60000.0,171.0,2017.0
Wireless Indoor Localization,Multivariate,Classification,Real,2000.0,7.0,2017.0
HCC Survival,Multivariate,Classification,"Integer, Real",165.0,49.0,2017.0
CSM (Conventional and Social Media Movies) Dataset 2014 and 2015,Multivariate,"Classification, Regression",Integer,217.0,12.0,2017.0
University of Tehran Question Dataset 2016 (UTQD.2016),Text,Classification,,1175.0,3.0,2017.0
Autism Screening Adult,,Classification,Integer,704.0,21.0,2017.0
Activity recognition with healthy older people using a batteryless wearable sensor,Sequential,Classification,Real,75128.0,9.0,2016.0
Immunotherapy Dataset,Univariate,Classification,"Integer, Real",90.0,8.0,2018.0
Cryotherapy Dataset,Univariate,Classification,"Integer, Real",90.0,7.0,2018.0
OCT data & Color Fundus Images of Left & Right Eyes,Multivariate,Classification,Real,50.0,2.0,2016.0
Discrete Tone Image Dataset,Multivariate,Classification,,71.0,11.0,2018.0
News Popularity in Multiple Social Media Platforms,"Multivariate, Time-Series, Text",Regression,"Integer, Real",93239.0,11.0,2018.0
Ultrasonic flowmeter diagnostics,Multivariate,Classification,Real,540.0,173.0,2018.0
ICMLA 2014 Accepted Papers Data Set,Multivariate,"Classification, Clustering",,105.0,5.0,2018.0
BLE RSSI Dataset for Indoor localization and Navigation,"Multivariate, Sequential, Time-Series","Classification, Clustering",Integer,6611.0,15.0,2018.0
Container Crane Controller Data Set,"Univariate, Domain-Theory","Classification, Regression",Real,15.0,3.0,2018.0
Residential Building Data Set,Multivariate,Regression,Real,372.0,105.0,2018.0
Health News in Twitter,Text,Clustering,Real,58000.0,25000.0,2018.0
chipseq,Sequential,Classification,Integer,4960.0,,2018.0
SGEMM GPU kernel performance,Multivariate,Regression,Integer,241600.0,18.0,2018.0
Repeat Consumption Matrices,Multivariate,Clustering,Real,130000.0,21000.0,2018.0
detection_of_IoT_botnet_attacks_N_BaIoT,"Multivariate, Sequential","Classification, Clustering",Real,7062606.0,115.0,2018.0
Absenteeism at work,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",740.0,21.0,2018.0
SCADI,Multivariate,"Classification, Clustering",,70.0,206.0,2018.0
Condition monitoring of hydraulic systems,"Multivariate, Time-Series","Classification, Regression",Real,2205.0,43680.0,2018.0
Carbon Nanotubes,Univariate,Regression,Real,10721.0,8.0,2018.0
Optical Interconnection Network,Multivariate,"Classification, Regression","Integer, Real",640.0,10.0,2018.0
Sports articles for objectivity analysis,"Multivariate, Text",Classification,Integer,1000.0,59.0,2018.0
Breast Cancer Coimbra,Multivariate,Classification,Integer,116.0,10.0,2018.0
GNFUV Unmanned Surface Vehicles Sensor Data,"Multivariate, Time-Series",Regression,Real,1672.0,5.0,2018.0
Dishonest Internet users Dataset,Multivariate,"Classification, Clustering",,322.0,5.0,2018.0
Victorian Era Authorship Attribution,Text,Classification,,93600.0,1000.0,2018.0
Simulated Falls and Daily Living Activities Data Set,Time-Series,Classification,Integer,3060.0,138.0,2018.0
Multimodal Damage Identification for Humanitarian Computing,"Multivariate, Text",Classification,Integer,5879.0,,2018.0
EEG Steady-State Visual Evoked Potential Signals,"Multivariate, Time-Series","Classification, Regression",Integer,9200.0,16.0,2018.0
Roman Urdu Data Set,Text,Classification,,20000.0,2.0,2018.0
Avila,Multivariate,Classification,Real,20867.0,10.0,2018.0
PANDOR,Multivariate,Recommendation,Categorical,,,2018.0
Drug Review Dataset (Druglib.com),"Multivariate, Text","Classification, Regression, Clustering",Integer,4143.0,8.0,2018.0
Drug Review Dataset (Drugs.com),"Multivariate, Text","Classification, Regression, Clustering",Integer,215063.0,6.0,2018.0
Physical Unclonable Functions,Multivariate,Classification,Integer,6000000.0,129.0,2018.0
Superconductivty Data,Multivariate,Regression,Real,21263.0,81.0,2018.0
WESAD (Wearable Stress and Affect Detection),"Multivariate, Time-Series","Classification, Regression",Real,63000000.0,12.0,2018.0
GNFUV Unmanned Surface Vehicles Sensor Data Set 2,"Multivariate, Sequential, Time-Series",Regression,Real,10190.0,6.0,2018.0
Student Academics Performance,Multivariate,Classification,,300.0,22.0,2018.0
Online Shoppers Purchasing Intention Dataset,Multivariate,"Classification, Clustering","Integer, Real",12330.0,18.0,2018.0
PMU-UD,Univariate,Classification,,5180.0,9.0,2018.0
Parkinson's Disease Classification,Multivariate,Classification,"Integer, Real",756.0,754.0,2018.0
Electrical Grid Stability Simulated Data,Multivariate,"Classification, Regression",Real,10000.0,14.0,2018.0
Caesarian Section Classification Dataset,Univariate,Classification,Integer,80.0,5.0,2018.0
BAUM-1,Time-Series,Classification,,1184.0,,2018.0
BAUM-2,Time-Series,Classification,,1047.0,,2018.0
Audit Data,Multivariate,Classification,Real,777.0,18.0,2018.0
BuddyMove Data Set,"Multivariate, Text","Classification, Clustering",Real,249.0,7.0,2018.0
Real estate valuation data set,Multivariate,Regression,"Integer, Real",414.0,7.0,2018.0
Early biomarkers of Parkinson’s disease based on natural connected speech Data Set,Multivariate,Classification,Real,,,2018.0
Somerville Happiness Survey,,Classification,Integer,143.0,7.0,2018.0
2.4 GHZ Indoor Channel Measurements,Multivariate,Classification,Real,7840.0,5.0,2018.0
EMG data for gestures,Time-Series,Classification,Real,30000.0,6.0,2019.0
Parking Birmingham,"Multivariate, Univariate, Sequential, Time-Series","Classification, Regression, Clustering",Real,35717.0,4.0,2019.0
Behavior of the urban traffic of the city of Sao Paulo in Brazil,"Multivariate, Time-Series","Classification, Regression","Integer, Real",135.0,18.0,2018.0
Travel Reviews,"Multivariate, Text","Classification, Clustering",Real,980.0,11.0,2018.0
Tarvel Review Ratings,"Multivariate, Text","Classification, Clustering",Real,5456.0,25.0,2018.0
Rice Leaf Diseases,Multivariate,Classification,Integer,120.0,,2019.0
Gas sensor array temperature modulation,"Multivariate, Time-Series","Classification, Regression",Real,4095000.0,20.0,2019.0
Facebook Live Sellers in Thailand,Multivariate,Clustering,Integer,7051.0,12.0,2019.0
Parkinson Dataset with replicated acoustic features,Multivariate,Classification,,240.0,46.0,2019.0
Metro Interstate Traffic Volume,"Multivariate, Sequential, Time-Series",Regression,"Integer, Real",48204.0,9.0,2019.0
Query Analytics Workloads Dataset,Multivariate,"Regression, Clustering",Real,260000.0,8.0,2019.0
Wave Energy Converters,Multivariate,Regression,Real,288000.0,49.0,2019.0
PPG-DaLiA,"Multivariate, Time-Series",Regression,Real,8300000.0,11.0,2019.0
Alcohol QCM Sensor Dataset,Multivariate,"Classification, Regression, Clustering",Real,125.0,8.0,2019.0
Divorce Predictors data set,"Multivariate, Univariate",Classification,Integer,170.0,54.0,2019.0
Incident management process enriched event log,"Multivariate, Sequential","Regression, Clustering",Integer,141712.0,36.0,2019.0
Opinion Corpus for Lebanese Arabic Reviews (OCLAR),Text,Classification,Integer,3916.0,3916.0,2019.0
MEx,Time-Series,"Classification, Clustering",Real,6262.0,710.0,2019.0
Beijing Multi-Site Air-Quality Data,"Multivariate, Time-Series",Regression,"Integer, Real",420768.0,18.0,2019.0
Online Retail II,"Multivariate, Sequential, Time-Series, Text","Classification, Regression, Clustering","Integer, Real",1067371.0,8.0,2019.0
Hepatitis C Virus (HCV) for Egyptian patients,Multivariate,Classification,"Integer, Real",1385.0,29.0,2019.0
QSAR fish toxicity,Multivariate,Regression,Real,908.0,7.0,2019.0
QSAR aquatic toxicity,Multivariate,Regression,Real,546.0,9.0,2019.0
Human Activity Recognition from Continuous Ambient Sensor Data,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",13956534.0,37.0,2019.0
WISDM Smartphone and Smartwatch Activity and Biometrics Dataset,"Multivariate, Time-Series",Classification,Real,15630426.0,6.0,2019.0
